Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-09-02,Der Aufstieg,1926,https://letterboxd.com/danielquinn/film/der-aufstieg/,3,,,2017-09-01
2017-09-02,Spiel der Wellen,1926,https://letterboxd.com/danielquinn/film/spiel-der-wellen/,3,,,2017-09-01
2017-09-02,Lichtspiel: Opus I,1921,https://letterboxd.com/danielquinn/film/lichtspiel-opus-i/,3.5,,,2017-09-01
2017-09-02,Opus II,1921,https://letterboxd.com/danielquinn/film/opus-ii/,3,,,2017-09-01
2017-09-02,Opus III,1924,https://letterboxd.com/danielquinn/film/opus-iii/,3.5,,,2017-09-01
2017-09-02,Opus IV,1925,https://letterboxd.com/danielquinn/film/opus-iv/,3.5,,,2017-09-01
2017-09-02,Spirals,1926,https://letterboxd.com/danielquinn/film/spirals/,3.5,,,2017-09-01
2017-09-02,Rebus-Film Nr. 1,1925,https://letterboxd.com/danielquinn/film/rebus-film-nr-1/,3,,,2017-09-01
2017-09-02,Chess Fever,1925,https://letterboxd.com/danielquinn/film/chess-fever/,3.5,,,2017-09-01
2017-09-02,For Heaven's Sake,1926,https://letterboxd.com/danielquinn/film/for-heavens-sake/,3.5,,,2017-09-01
2017-09-02,Inflation,1928,https://letterboxd.com/danielquinn/film/inflation-1928/,3,,,2017-09-01
2017-09-02,Three Secrets,1950,https://letterboxd.com/danielquinn/film/three-secrets/,3.5,,,2017-09-01
2017-09-02,Todos somos necesarios,1956,https://letterboxd.com/danielquinn/film/todos-somos-necesarios/,3.5,,,2017-09-01
2017-09-03,Vivacious Lady,1938,https://letterboxd.com/danielquinn/film/vivacious-lady/,3.5,,,2017-09-02
2017-09-06,China Girl,1987,https://letterboxd.com/danielquinn/film/china-girl-1987/,4.5,,,2017-09-05
2017-09-06,Could This Be Love,1973,https://letterboxd.com/danielquinn/film/could-this-be-love/,3,,,2017-09-05
2017-09-06,Ms .45,1981,https://letterboxd.com/danielquinn/film/ms-45/,3,,,2017-09-05
2017-09-07,Fear City,1984,https://letterboxd.com/danielquinn/film/fear-city/,3,,,2017-09-06
2017-09-08,Bad Lieutenant,1992,https://letterboxd.com/danielquinn/film/bad-lieutenant/,4.5,Yes,,2017-09-07
2017-09-08,The Bad Lieutenant: Port of Call - New Orleans,2009,https://letterboxd.com/danielquinn/film/the-bad-lieutenant-port-of-call-new-orleans/,1.5,,,2017-09-07
2017-09-08,Madame Pompadour,1927,https://letterboxd.com/danielquinn/film/madame-pompadour/,3,,,2017-09-07
